Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	AIQM_E_rel	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm	AIQM_E_rel_norm
s.cyc.34.34.2.110-110	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	2	0	56.8	1.06	0.1781	1.82	0.0035	2.02	0.0086	26.4	-0.3786	-0.694	-0.526	-0.643	0.6214	-0.0014	0.1124	-0.6293
z.cyc.17.34.2.x10-111	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	2	2	0	58.5	0.98	0.0369	1.78	0.0574	2.74	0.0000	42.5	-0.3600	-0.731	-0.547	-0.214	0.3606	0.4754	-1.0000	-0.4036
s.cyc.23.43.2.011-011	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	2	0	64.4	1.62	0.0450	1.96	0.0098	2.34	0.1334	57.3	-0.2954	-0.434	-0.453	-0.452	0.3935	0.1741	0.5638	-0.1950
s.cyc.23.34.2.011-011	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	2	0	64.7	1.64	0.0312	1.83	0.0608	2.50	0.0692	58.4	-0.2921	-0.425	-0.521	-0.357	0.3328	0.4852	0.4557	-0.1802
s.cyc.23.34.2.101-011	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	2	0	65.9	1.63	0.1164	1.94	0.0085	2.51	0.0000	53.5	-0.2790	-0.429	-0.464	-0.351	0.5509	0.1498	-1.0000	-0.2482
s.cyc.23.43.2.101-011	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	2	0	66.4	1.64	0.0128	1.96	0.1132	2.51	0.0000	57.8	-0.2735	-0.425	-0.453	-0.351	0.1852	0.5912	-1.0000	-0.1885
d.cyc.23.34.2.001-111	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	2	0	66.5	1.60	0.0093	2.27	0.0143	2.63	0.0000	56.7	-0.2724	-0.443	-0.292	-0.280	0.1323	0.2385	-1.0000	-0.2042
s.cyc.17.71.2.x11-x11	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	2	0	66.6	1.04	0.0000	1.23	0.1856	2.52	0.0000	43.1	-0.2713	-0.703	-0.833	-0.345	-1.0000	0.6755	-1.0000	-0.3941
s.cyc.34.45.2.011-1x1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	2	0	66.7	1.52	0.0433	1.87	0.0360	2.62	0.0000	53.4	-0.2702	-0.480	-0.500	-0.286	0.3871	0.3959	-1.0000	-0.2507
s.cyc.17.23.2.x11-011	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	2	0	66.7	1.88	0.0438	2.12	0.0776	2.54	0.0000	55.0	-0.2702	-0.313	-0.370	-0.333	0.3890	0.5268	-1.0000	-0.2282
